-------------------------------
T_j^H 	 T_j^L 	 CC_i'
30 	 60 	 870
31 	 60 	 870
32 	 60 	 874
33 	 60 	 874
34 	 60 	 879
35 	 60 	 879
36 	 60 	 885
37 	 60 	 885
38 	 60 	 885
39 	 60 	 889
40 	 60 	 889
41 	 60 	 889
42 	 60 	 895
43 	 60 	 895
44 	 60 	 895
45 	 60 	 895
46 	 60 	 899
47 	 60 	 899
48 	 60 	 899
49 	 60 	 899
50 	 60 	 905
51 	 60 	 905
52 	 60 	 905
53 	 60 	 905
54 	 60 	 905
55 	 60 	 905
56 	 60 	 910
57 	 60 	 910
58 	 60 	 910
10 	 61 	 705
11 	 61 	 725
12 	 61 	 745
13 	 61 	 760
14 	 61 	 774
15 	 61 	 785
16 	 61 	 795
17 	 61 	 805
18 	 61 	 814
19 	 61 	 820
20 	 61 	 830
21 	 61 	 834
22 	 61 	 840
23 	 61 	 844
24 	 61 	 850
25 	 61 	 854
26 	 61 	 854
27 	 61 	 860
28 	 61 	 864
29 	 61 	 864
30 	 61 	 870
31 	 61 	 870
32 	 61 	 874
33 	 61 	 874
34 	 61 	 879
35 	 61 	 879
36 	 61 	 885
37 	 61 	 885
38 	 61 	 885
39 	 61 	 889
40 	 61 	 889
41 	 61 	 889
42 	 61 	 895
43 	 61 	 895
44 	 61 	 895
45 	 61 	 895
46 	 61 	 899
47 	 61 	 899
48 	 61 	 899
49 	 61 	 899
50 	 61 	 905
51 	 61 	 905
52 	 61 	 905
53 	 61 	 905
54 	 61 	 905
55 	 61 	 905
56 	 61 	 910
57 	 61 	 910
58 	 61 	 910
59 	 61 	 910
10 	 62 	 705
11 	 62 	 725
12 	 62 	 745
13 	 62 	 760
14 	 62 	 774
15 	 62 	 785
16 	 62 	 795
17 	 62 	 805
18 	 62 	 814
19 	 62 	 820
20 	 62 	 830
21 	 62 	 834
22 	 62 	 840
23 	 62 	 846
24 	 62 	 850
25 	 62 	 856
26 	 62 	 856
27 	 62 	 860
28 	 62 	 866
29 	 62 	 866
30 	 62 	 870
31 	 62 	 870
32 	 62 	 874
33 	 62 	 874
34 	 62 	 879
35 	 62 	 879
36 	 62 	 885
37 	 62 	 885
38 	 62 	 885
39 	 62 	 889
40 	 62 	 889
41 	 62 	 889
42 	 62 	 895
43 	 62 	 895
44 	 62 	 895
45 	 62 	 895
46 	 62 	 899
47 	 62 	 899
48 	 62 	 899
49 	 62 	 899
50 	 62 	 905
51 	 62 	 905
52 	 62 	 905
53 	 62 	 905
54 	 62 	 905
55 	 62 	 905
56 	 62 	 910
57 	 62 	 910
58 	 62 	 910
59 	 62 	 910
60 	 62 	 910
10 	 63 	 709
11 	 63 	 729
12 	 63 	 749
13 	 63 	 764
14 	 63 	 780
15 	 63 	 789
16 	 63 	 799
17 	 63 	 809
18 	 63 	 820
19 	 63 	 824
20 	 63 	 834
21 	 63 	 840
22 	 63 	 844
23 	 63 	 850
24 	 63 	 854
25 	 63 	 860
26 	 63 	 860
27 	 63 	 864
28 	 63 	 870
29 	 63 	 870
30 	 63 	 874
31 	 63 	 874
32 	 63 	 879
33 	 63 	 879
34 	 63 	 885
35 	 63 	 885
36 	 63 	 889
37 	 63 	 889
38 	 63 	 889
39 	 63 	 895
40 	 63 	 895
41 	 63 	 895
42 	 63 	 899
43 	 63 	 899
44 	 63 	 899
45 	 63 	 899
46 	 63 	 905
47 	 63 	 905
48 	 63 	 905
49 	 63 	 905
50 	 63 	 910
51 	 63 	 910
52 	 63 	 910
53 	 63 	 910
54 	 63 	 910
55 	 63 	 910
56 	 63 	 914
57 	 63 	 914
58 	 63 	 914
59 	 63 	 914
